Umur,Jumlah Masukan,Bahan Makanan,Vit. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
3,1,37,x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
28,1,6,x,o,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
28,1,49,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
9,8,"48, 23, 42, 38, 16, 11, 28, 52",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
9,1,15,x,o,x,x,x,x,o,o,x,x,x,x,o,x,x,x,x,x
36,10,"57, 41, 19, 27, 47, 16, 50, 53, 20, 60",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,o,o
27,9,"31, 38, 56, 32, 33, 7, 50, 54, 46",o,o,o,x,o,x,x,o,x,x,x,o,o,x,x,x,x,x
26,5,"21, 2, 16, 38, 41",o,o,x,o,x,x,o,o,x,x,x,o,x,x,x,x,x,x
13,9,"40, 18, 39, 7, 48, 30, 11, 29, 28",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
29,4,"47, 44, 12, 16",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
18,9,"35, 1, 13, 60, 48, 50, 2, 44, 16",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
21,3,"10, 23, 26",x,o,x,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
7,2,"54, 39",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,o
8,6,"35, 58, 11, 29, 53, 20",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
19,1,36,x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
14,5,"48, 12, 52, 14, 34",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
2,10,"11, 2, 39, 11, 44, 12, 29, 39, 8, 11",x,o,o,x,x,x,o,o,o,o,o,o,o,o,o,o,o,o
15,7,"61, 6, 61, 2, 4, 51, 38",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
19,8,"6, 22, 18, 61, 26, 15, 53, 41",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,o
5,2,"12, 42",x,o,x,x,x,x,x,o,x,x,o,o,o,x,o,o,x,x
36,2,"32, 2",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
36,5,"8, 35, 4, 55, 37",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,3,"39, 11, 53",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
30,4,"26, 26, 55, 34",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
23,9,"35, 63, 51, 15, 10, 10, 60, 18, 60",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
35,7,"17, 59, 8, 43, 19, 46, 43",o,o,o,x,x,x,o,o,x,o,o,o,x,x,o,x,o,x
33,6,"47, 1, 59, 25, 36, 29",o,o,o,x,o,x,o,o,x,x,o,o,o,x,x,x,x,x
7,9,"8, 38, 7, 28, 7, 57, 40, 35, 31",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
11,1,50,o,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
2,7,"17, 17, 45, 38, 63, 60, 33",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
10,4,"35, 28, 10, 33",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,o,x,x
35,5,"9, 13, 5, 31, 25",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
30,7,"31, 10, 58, 30, 31, 7, 1",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
9,10,"49, 55, 20, 42, 19, 14, 1, 23, 27, 40",o,o,x,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
17,5,"39, 40, 63, 1, 9",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
24,5,"1, 9, 39, 63, 14",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
31,7,"26, 9, 5, 8, 43, 7, 60",x,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,x
35,9,"38, 49, 17, 54, 35, 2, 36, 36, 8",x,o,o,x,x,x,o,o,x,o,x,o,x,x,x,x,x,x
2,1,18,x,x,x,x,x,x,o,x,x,x,x,o,o,x,o,x,x,x
29,9,"42, 25, 36, 9, 29, 58, 45, 2, 43",o,o,o,x,x,x,o,o,x,x,x,o,o,x,x,x,x,x
4,9,"33, 6, 44, 17, 15, 41, 42, 16, 16",x,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
0,2,"7, 30",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,o,x,o
7,10,"18, 56, 32, 29, 9, 3, 31, 59, 1, 4",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
34,5,"5, 33, 22, 22, 56",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
9,2,"25, 40",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
34,5,"55, 49, 25, 51, 11",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
4,2,"16, 23",x,o,x,x,x,x,o,o,x,x,x,o,o,x,o,o,x,x
2,5,"14, 14, 44, 51, 23",x,o,o,x,x,x,o,o,o,o,x,o,o,o,o,o,o,o
35,1,47,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x
28,2,"14, 21",o,o,x,o,x,x,o,o,x,x,x,x,x,x,x,x,x,x
12,4,"6, 23, 16, 34",x,o,x,x,x,x,o,o,x,x,x,x,o,x,o,x,x,x
30,5,"23, 37, 7, 10, 58",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
32,10,"33, 8, 38, 3, 41, 18, 59, 8, 53, 50",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
24,4,"51, 28, 62, 24",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,6,"46, 40, 53, 18, 37, 45",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
34,2,"37, 18",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,9,"51, 61, 47, 33, 40, 5, 27, 39, 44",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
31,3,"18, 24, 3",o,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
27,9,"55, 37, 44, 62, 54, 61, 55, 36, 9",o,o,o,x,o,x,o,o,x,x,o,o,o,x,x,x,x,o
36,7,"32, 31, 57, 48, 25, 62, 48",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
20,8,"54, 38, 11, 56, 53, 55, 36, 29",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
17,1,34,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
12,5,"39, 31, 10, 29, 6",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
34,6,"60, 18, 42, 25, 34, 37",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
4,7,"15, 49, 21, 60, 9, 40, 16",o,o,x,o,o,x,o,o,o,x,o,o,o,o,o,o,o,o
9,7,"52, 3, 28, 5, 59, 15, 44",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
2,4,"20, 39, 23, 3",o,o,x,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
11,7,"22, 16, 63, 40, 17, 35, 59",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
0,9,"62, 49, 11, 27, 47, 1, 20, 60, 26",o,o,x,x,o,x,o,o,o,x,o,o,o,o,o,o,o,o
19,9,"31, 25, 46, 7, 59, 22, 23, 23, 63",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,x,x,x
22,1,38,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
11,8,"30, 47, 9, 48, 58, 51, 60, 61",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
16,10,"1, 54, 37, 14, 6, 27, 52, 38, 53, 6",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,x,x,o
19,1,33,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
33,4,"1, 12, 47, 41",x,o,x,x,o,x,o,o,x,x,x,o,x,x,x,x,x,x
30,9,"62, 61, 13, 52, 56, 12, 48, 22, 55",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
25,1,49,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
6,3,"25, 21, 52",o,o,o,o,o,x,o,o,x,x,x,o,o,x,x,x,x,x
12,10,"43, 53, 28, 23, 42, 28, 18, 59, 60, 44",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,x,o
31,5,"61, 4, 16, 17, 51",o,o,o,x,o,x,o,o,x,o,x,x,x,x,x,x,x,x
6,10,"61, 33, 45, 16, 35, 25, 9, 22, 5, 7",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
19,5,"43, 18, 32, 33, 51",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
31,3,"2, 17, 18",x,o,x,x,x,x,o,o,x,o,x,x,x,x,x,x,x,x
23,2,"42, 5",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
15,5,"38, 52, 31, 29, 48",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
9,8,"12, 14, 16, 25, 28, 42, 40, 63",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
9,5,"59, 7, 38, 60, 12",o,o,x,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
15,1,36,x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
9,8,"17, 52, 18, 33, 57, 9, 27, 47",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
35,4,"5, 54, 60, 15",x,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
3,10,"27, 17, 29, 57, 2, 35, 38, 35, 38, 14",x,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
32,3,"42, 51, 3",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
7,5,"14, 28, 16, 22, 58",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
28,7,"1, 22, 40, 39, 49, 16, 14",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
7,4,"39, 55, 54, 13",x,o,o,x,x,x,x,o,x,x,o,x,o,x,x,o,x,o
4,5,"20, 56, 13, 26, 33",o,o,x,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
18,6,"36, 9, 22, 61, 45, 56",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,o,x
10,1,8,x,o,x,x,x,x,x,x,x,x,x,x,o,x,x,x,x,x
35,7,"32, 37, 22, 12, 29, 48, 46",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
24,4,"17, 24, 37, 5",o,o,o,x,x,x,x,o,x,o,x,o,x,x,x,x,x,x
14,5,"58, 20, 8, 21, 51",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,o,x
25,9,"40, 19, 53, 50, 34, 19, 9, 27, 25",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,o,x
0,8,"38, 26, 62, 7, 18, 16, 34, 10",x,o,x,o,x,x,o,o,o,x,o,o,o,x,o,o,o,o
16,10,"53, 35, 30, 36, 42, 43, 11, 6, 28, 32",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,o
11,6,"54, 26, 10, 40, 11, 51",x,o,o,x,o,x,o,o,o,x,o,x,o,x,o,o,x,o
26,6,"23, 29, 31, 22, 25, 47",x,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
5,9,"4, 36, 51, 38, 60, 4, 16, 62, 44",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
23,6,"52, 11, 45, 52, 61, 16",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
21,5,"10, 12, 36, 29, 6",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,10,"54, 4, 27, 16, 62, 11, 12, 30, 25, 4",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
5,3,"36, 15, 47",x,o,x,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
0,8,"55, 31, 14, 47, 8, 38, 15, 19",x,o,x,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
7,10,"27, 59, 38, 46, 62, 13, 13, 43, 26, 20",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
6,1,49,x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
22,4,"33, 20, 25, 26",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
11,4,"53, 42, 46, 56",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,o,x,x
14,10,"62, 23, 26, 15, 46, 51, 40, 43, 39, 55",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,o
26,4,"53, 16, 14, 63",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
9,3,"63, 32, 31",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
34,1,48,x,o,x,x,o,x,o,x,x,o,x,x,x,x,x,x,x,x
28,5,"52, 58, 22, 32, 26",o,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
30,4,"52, 17, 21, 38",o,o,o,o,x,x,o,o,x,o,x,o,x,x,x,x,x,x
16,9,"16, 61, 49, 12, 35, 31, 40, 53, 58",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
0,9,"2, 4, 26, 19, 62, 46, 42, 51, 3",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
19,2,"21, 30",o,o,o,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
13,1,52,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
30,4,"6, 23, 36, 27",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
17,7,"34, 59, 53, 44, 22, 62, 27",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
12,6,"32, 33, 34, 6, 60, 37",x,o,o,x,o,x,o,o,x,x,x,x,o,x,o,x,x,x
27,8,"36, 30, 9, 28, 37, 39, 54, 41",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
10,4,"3, 4, 29, 7",x,o,x,x,x,x,o,o,x,x,x,x,o,x,x,o,o,x
6,3,"16, 18, 29",x,o,x,o,x,x,o,o,x,x,x,o,o,x,o,o,x,o
5,8,"50, 6, 34, 55, 13, 34, 40, 41",o,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,o,o
24,8,"55, 51, 61, 51, 14, 60, 15, 14",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
35,7,"57, 25, 14, 36, 48, 21, 53",o,o,o,o,o,x,o,o,x,o,o,o,x,x,o,x,x,x
15,8,"43, 55, 50, 46, 8, 39, 57, 7",o,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
36,7,"29, 10, 18, 47, 40, 17, 20",o,o,o,x,o,x,o,o,o,o,x,o,x,x,o,x,o,x
27,1,33,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
14,2,"16, 35",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
16,7,"54, 45, 56, 45, 51, 15, 5",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
19,9,"19, 58, 58, 36, 24, 8, 44, 52, 40",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
29,3,"30, 30, 46",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,3,"8, 52, 56",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,8,"2, 2, 15, 23, 34, 4, 52, 43",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
27,9,"34, 30, 54, 49, 24, 29, 21, 18, 32",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,o
32,2,"8, 3",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,9,"9, 32, 51, 8, 4, 54, 30, 26, 47",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,x
33,3,"40, 6, 63",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
32,6,"40, 42, 15, 48, 28, 53",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
3,1,19,x,o,x,x,x,x,o,x,x,x,x,o,o,x,o,x,o,x
24,4,"38, 1, 17, 46",x,o,o,x,x,x,o,o,x,o,x,x,x,x,x,x,x,x
28,1,28,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
4,4,"12, 42, 17, 13",x,o,x,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
15,1,46,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,9,"15, 51, 37, 20, 51, 54, 61, 38, 57",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,o,o
1,3,"32, 51, 10",x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,o,x,o
9,10,"2, 33, 24, 37, 12, 5, 18, 32, 28, 29",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
1,4,"55, 34, 10, 10",x,o,x,x,x,x,x,o,o,x,x,o,o,x,x,o,x,x
35,3,"57, 25, 20",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,o,x
35,6,"50, 63, 33, 30, 10, 19",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
13,9,"41, 43, 51, 60, 48, 41, 62, 17, 33",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
7,5,"61, 46, 54, 39, 46",o,o,o,x,o,x,o,o,x,x,o,x,o,x,x,o,x,o
13,9,"61, 42, 24, 19, 21, 49, 43, 9, 1",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
24,4,"25, 43, 40, 54",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
17,9,"19, 10, 19, 6, 7, 6, 61, 39, 19",o,o,o,o,o,x,o,o,o,x,o,o,x,x,o,x,x,o
10,3,"47, 35, 33",x,o,o,x,o,x,x,o,x,x,o,x,o,x,x,o,x,o
32,9,"9, 16, 17, 49, 37, 48, 42, 2, 37",x,o,o,x,o,x,o,o,o,o,x,o,o,x,o,x,o,x
14,3,"21, 27, 28",o,o,o,o,x,x,o,o,x,x,x,x,x,x,o,x,x,x
17,1,11,x,o,x,x,x,x,o,x,x,x,x,x,x,x,o,x,x,x
26,1,36,x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
29,6,"43, 5, 13, 34, 47, 51",x,o,o,x,o,x,o,o,x,x,x,o,x,x,x,x,x,x
20,1,55,x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
30,2,"11, 40",x,o,x,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
32,4,"8, 33, 49, 33",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
11,7,"48, 8, 52, 2, 32, 30, 11",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
32,5,"41, 44, 50, 39, 32",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
19,6,"60, 20, 41, 5, 46, 36",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,o,x
34,4,"16, 46, 57, 16",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
0,9,"14, 57, 11, 10, 47, 18, 16, 50, 55",o,o,o,o,o,x,o,o,o,o,o,o,o,o,o,o,o,o
12,3,"1, 49, 48",x,o,x,x,o,x,o,o,x,o,x,x,o,x,o,x,x,x
28,1,35,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
22,4,"15, 9, 44, 38",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
19,4,"42, 52, 56, 9",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
7,4,"3, 52, 35, 19",x,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,o,o
18,5,"51, 43, 11, 36, 62",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
21,10,"10, 38, 4, 40, 53, 5, 26, 50, 21, 13",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
29,6,"3, 41, 21, 25, 31, 21",o,o,o,o,o,x,o,o,x,x,x,o,x,x,x,x,x,x
31,6,"18, 11, 26, 39, 24, 38",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
34,6,"5, 41, 2, 24, 1, 39",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
33,9,"63, 42, 45, 21, 45, 12, 48, 51, 4",o,o,o,o,o,x,o,o,x,o,o,o,x,x,o,x,x,o
19,3,"19, 42, 20",o,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
30,9,"38, 31, 22, 2, 30, 6, 60, 1, 20",o,o,o,x,o,x,o,o,o,x,o,o,x,x,o,x,o,x
32,3,"60, 48, 7",x,o,x,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
26,5,"11, 38, 38, 39, 8",x,o,x,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
30,7,"18, 39, 7, 45, 30, 44, 42",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
28,4,"15, 29, 5, 8",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
21,8,"21, 7, 35, 55, 58, 41, 26, 14",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
18,4,"53, 6, 56, 46",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
35,5,"62, 18, 5, 6, 4",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
16,10,"58, 4, 47, 60, 42, 22, 1, 59, 31, 52",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,x,o
30,8,"36, 12, 6, 37, 62, 62, 54, 21",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
32,5,"2, 54, 8, 27, 50",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
6,4,"55, 60, 53, 17",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
17,5,"27, 23, 29, 34, 39",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
0,6,"39, 58, 62, 43, 53, 23",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
28,6,"59, 59, 5, 20, 31, 54",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,o,x
25,10,"19, 28, 60, 33, 31, 11, 48, 11, 44, 24",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
20,1,35,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
12,9,"36, 63, 39, 15, 17, 9, 55, 21, 39",o,o,o,o,o,x,o,o,o,o,x,o,o,x,o,x,o,o
23,5,"1, 35, 6, 58, 12",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
16,2,"19, 4",x,o,x,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
6,7,"14, 30, 12, 12, 15, 3, 19",x,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
36,8,"21, 50, 10, 39, 51, 59, 56, 31",o,o,o,o,o,x,o,o,x,x,o,o,o,x,x,x,x,x
24,10,"54, 41, 61, 35, 40, 31, 1, 59, 23, 15",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
25,1,46,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
11,9,"3, 42, 5, 5, 46, 62, 49, 8, 39",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
23,4,"38, 26, 18, 15",x,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
36,3,"59, 45, 5",o,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
25,4,"40, 39, 2, 58",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
26,1,33,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
7,7,"3, 21, 20, 52, 14, 1, 53",o,o,o,o,o,x,o,o,o,o,o,o,o,x,o,o,o,o
6,4,"40, 19, 39, 58",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
2,8,"31, 58, 42, 23, 34, 19, 21, 17",o,o,o,o,o,x,o,o,o,o,o,o,o,o,o,o,o,o
32,10,"56, 4, 37, 38, 11, 60, 8, 33, 39, 54",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
23,4,"12, 55, 34, 54",x,o,o,x,x,x,o,o,x,x,o,x,x,x,x,x,x,x
2,2,"31, 43",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,o,x,x
26,4,"54, 37, 29, 11",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
4,4,"30, 25, 14, 1",x,o,o,x,x,x,o,o,o,x,x,o,o,x,o,o,x,o
30,7,"35, 3, 11, 59, 54, 10, 19",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
15,6,"18, 18, 49, 52, 59, 53",o,o,o,o,x,x,o,o,x,x,o,o,x,x,o,x,x,x
33,3,"38, 40, 4",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
9,6,"43, 25, 9, 5, 14, 5",x,o,o,x,x,x,o,o,o,x,x,o,o,x,o,o,o,o
30,10,"35, 57, 1, 39, 6, 1, 7, 41, 12, 37",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
9,1,31,x,x,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
15,3,"31, 56, 19",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
30,8,"6, 57, 24, 26, 54, 14, 3, 37",o,o,o,x,x,x,o,o,x,x,o,o,o,x,x,x,x,x
5,6,"57, 56, 53, 53, 24, 5",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
36,5,"35, 55, 57, 4, 59",o,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
18,7,"59, 56, 47, 7, 27, 1, 63",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,x
9,7,"15, 46, 53, 46, 43, 12, 10",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,x,o
21,10,"48, 6, 54, 55, 16, 54, 61, 56, 17, 47",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
4,7,"38, 34, 52, 6, 13, 28, 11",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
9,9,"51, 5, 33, 1, 51, 27, 60, 40, 17",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
22,1,40,x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
34,7,"29, 37, 23, 30, 32, 47, 18",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
25,9,"27, 10, 39, 27, 56, 40, 54, 52, 13",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,x,x,o
